audit_id,index,language,title,first_failure_stage,first_failure_outcome,failure_category_auto,runtime_subtype_auto,stderr_excerpt
AUD-001,36,cpp,# Gaussian Mixture Model Classifier,demo,COMPILATION_ERROR,compile,,"test.cpp:105:2: error: expected ‘}’ at end of input 105 | } | ^ test.cpp:14:19: note: to match this ‘{’ 14 | class EnhancedGMM { | ^ In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/..."
AUD-002,40,cpp,<problem_description>,demo,COMPILATION_ERROR,compile,,"test.cpp:215:2: error: expected ‘}’ at end of input 215 | } | ^ test.cpp:54:17: note: to match this ‘{’ 54 | class Matrix4x4 { | ^ In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/io..."
AUD-003,65,cpp,# Texture Management System,demo,COMPILATION_ERROR,compile,,test.cpp: In function ‘void test()’: test.cpp:130:22: error: aggregate ‘IDirect3DDevice9 device’ has incomplete type and cannot be defined 130 | IDirect3DDevice9 device; | ^~~~~~
AUD-004,78,cpp,# 2D Platformer Physics Simulation,demo,COMPILATION_ERROR,compile,,"test.cpp:186:2: error: expected ‘}’ at end of input 186 | } | ^ test.cpp:117:21: note: to match this ‘{’ 117 | class PhysicsEngine { | ^ test.cpp: In constructor ‘PhysicsEngine::PhysicsEngine(const std::vector<Platform>&, const Player&)’: test.cpp:120:11: error: class ‘PhysicsEngine’ does not have any field named ‘platforms’ 120 | : pl..."
AUD-005,80,cpp,<problem_title>CUDA Device Capability Checker</problem_title>,demo,COMPILATION_ERROR,compile,,test.cpp:6:10: fatal error: cuda_runtime.h: No such file or directory 6 | #include <cuda_runtime.h> | ^~~~~~~~~~~~~~~~ compilation terminated.
AUD-006,88,cpp,# Stepper Motor Controller Simulation,demo,COMPILATION_ERROR,compile,,test.cpp:184:2: error: expected ‘}’ at end of input 184 | } | ^ test.cpp:28:25: note: to match this ‘{’ 28 | class StepperController { | ^ test.cpp: In member function ‘void StepperController::disable()’: test.cpp:71:9: error: ‘forceStop’ was not declared in this scope 71 | forceStop(); | ^~~~~~~~~ In file included from /usr/include/fe...
AUD-007,115,cpp,# Sphere Mesh Generator,demo,COMPILATION_ERROR,compile,,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h:66:1: error: expected ‘,’ or ‘...’ before ‘extern’ 66 | __BEGIN_DECLS | ^~~~~~~~~..."
AUD-008,123,cpp,# Spatial Points Analysis Problem,demo,COMPILATION_ERROR,compile,,"test.cpp:124:2: error: expected ‘}’ at end of input 124 | } | ^ test.cpp:6:23: note: to match this ‘{’ 6 | class SpatialAnalyzer { | ^ test.cpp: In member function ‘int SpatialAnalyzer::rangeQuery(const std::vector<std::pair<int, int> >&, int, int, int, int)’: test.cpp:91:1: error: expected primary-expression before ‘using’ 91 | using ..."
AUD-009,136,cpp,# Couple Matching and Happiness Calculation System,demo,COMPILATION_ERROR,compile,,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h: In function ‘std::pair<double, double> computeGiftTotals(const Boy&, const Girl&..."
AUD-010,163,cpp,# 2D Game Entity System Implementation,demo,COMPILATION_ERROR,compile,,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h:66:1: error: expected unqualified-id before ‘extern’ 66 | __BEGIN_DECLS | ^~~~~~~..."
