index,language,title,difficulty,condition_1,condition_2,condition_3,condition_4
23,cpp,Bus Schedule Optimization Problem,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
181,cpp,Palindrome Analysis Problem,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
49,cpp,Problem: String Analysis for Longest Unique Substrings,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
3,cpp,Role-Based Person Management System,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
91,cpp,Multi-Dimensional Range Counting Problem,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
179,cpp,Advanced Media Player System,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
26,cpp,Nunchuk Controller Implementation,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
117,cpp,Bit Manipulation Analyzer,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
9,cpp,Train Composition Problem,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
20,cpp,String Manipulation Library,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
74,cpp,Problem: String Pattern Analyzer,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
27,cpp,String Analysis and Manipulation,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
6,cpp,Robot Motion Planner with Obstacle Avoidance,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
107,cpp,Hotel Stay Planner in Weighted Graphs,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
144,cpp,String Pattern Matching Analyzer,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
153,cpp,String Rotation Checker,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
110,cpp,Number Range Analyzer,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
2,cpp,Problem: Number Property Analyzer,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
13,cpp,Image Rendering System,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
16,cpp,Air Travel Route Planner,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
17,cpp,Advanced String Analysis Problem,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
38,cpp,Graphics Effects Simulation System,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
41,cpp,2D Collision Detection System,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
48,cpp,Advanced Text Tokenizer Problem,easy,no_docs,signature_only,reference_no_examples,reference_with_examples
50,cpp,Trend Analysis Calculator,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
57,cpp,Logger System Implementation,hard,no_docs,signature_only,reference_no_examples,reference_with_examples
59,cpp,Game Entity Management System,medium,no_docs,signature_only,reference_no_examples,reference_with_examples
