index,language,title,difficulty,condition_1,condition_2,condition_3
2378,php,Implement a PopulationCRUD class in PHP to manage city population data with CRUD operations. The class should support:,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
179,cpp,Advanced Media Player System,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
114,cpp,3D Camera System Implementation,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
55,cpp,Multi-Cloud Computing (MCC) Message Handling System,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
1294,csharp,Distance Vector Routing Protocol Implementation in C#,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
1250,csharp,Stack State Capture and Reconstruction Problem in C#,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
135,cpp,Programming Problem: Symbol Resolver for Performance Maps,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
143,cpp,<problem_description>,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
3451,scala,Game State Management System,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
151,cpp,<problem_description>,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
170,cpp,Session Management System,easy,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
3215,rust,Stack-Based Queue Implementation in Rust,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
177,cpp,Bridge Crossing Optimization Problem,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
98,cpp,Word Frequency Tracker using AVL Tree,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
2363,php,Implement an Artist Management System using PHP. The system should be implemented as a class `ArtistManager` with the following functionality:,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
508,java,Deterministic Finite Automaton (DFA) Implementation,easy,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
2383,php,Implement an array operations manager function `arrayOperationsManager` that can perform various operations on an array based on different operation types and return a detailed object containing the operation results.,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
1146,csharp,Cryptocurrency Balance Simulator (C# Implementation),easy,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
1382,dart,Inventory Management System in Dart,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
189,cpp,2D Mesh Triangle Generator,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
150,cpp,<problem_description>,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
2334,php,Implement a ToDoManager class in PHP that manages a collection of tasks with the following functionality:,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
2352,php,"Implement a document management system that can create, retrieve, update, and delete documents while handling document version conflicts.",hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
164,cpp,Benchmarking Utility Class Implementation,medium,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
154,cpp,3D Affine Transformations Matrix Problem,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
134,cpp,Stack Operations Processor,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
118,cpp,Armor Class Implementation,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
2875,r,**Population Data Analysis in R**,easy,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
3179,rust,State Machine Implementation in Rust,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
82,cpp,Error Message Generator System,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
691,javascript,Implement a user management system with the following functionalities:,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
3278,rust,Maze Solver and Analyzer in Rust,hard,immutable_reference_solution,controlled_mutable_solution,stateful_incremental_solution
