index,language,difficulty,success,control_flow_score,pattern_signal_count,dispatch_count,imperative_branch_count,title
1,cpp,medium,1,3.4,0,3,2,String Analysis Problem
2,cpp,easy,0,-1.8,0,1,8,Problem: Number Property Analyzer
3,cpp,hard,0,8.4,0,8,7,Role-Based Person Management System
4,cpp,hard,1,-4.0,0,2,17,User Management System
5,cpp,hard,0,-5.8,0,1,18,Password Strength Validator
6,cpp,hard,0,-1.4,0,1,7,Robot Motion Planner with Obstacle Avoidance
7,cpp,hard,1,-8.4,0,0,21,3D Shape Analyzer Problem
8,cpp,easy,1,-4.6,0,1,15,Binary Tree Operations
9,cpp,hard,0,3.0,0,7,17,Train Composition Problem
10,cpp,hard,1,-2.8,0,2,14,Advanced String Utility Class Implementation
11,cpp,hard,0,11.6,0,10,6,Error Management System
12,cpp,medium,1,1.2,0,2,4,Problem: Advanced Mathematical Operations Calculator
13,cpp,medium,0,2.6,0,3,4,Image Rendering System
14,cpp,hard,0,-3.2,0,0,8,Status Effects System Implementation
15,cpp,hard,1,-4.4,0,0,11,Delivery Route Optimization Problem
16,cpp,hard,0,-7.2,0,0,18,Air Travel Route Planner
17,cpp,easy,0,-8.6,0,1,25,Advanced String Analysis Problem
18,cpp,easy,1,-1.2,0,0,3,Accelerometer Data Processing Problem
19,cpp,hard,1,-2.4,0,0,6,Physics Simulation: Ball and Trap System
20,cpp,easy,1,-0.4,0,4,15,String Manipulation Library
21,cpp,hard,1,-4.2,0,1,14,Audio Processing System
22,cpp,hard,1,-2.0,0,0,5,String Processing Problem
23,cpp,hard,0,-5.2,0,0,13,Bus Schedule Optimization Problem
24,cpp,easy,1,1.4,0,3,7,Shared Pointer Management System
25,cpp,medium,1,-5.6,0,0,14,Binary-Decimal Conversion System
26,cpp,easy,0,-5.8,0,3,25,Nunchuk Controller Implementation
27,cpp,hard,0,-0.4,0,2,8,String Analysis and Manipulation
28,cpp,hard,0,2.2,0,3,5,Network Packet Builder Implementation
29,cpp,hard,0,-2.2,0,1,9,3D Cube Operations Problem
30,cpp,hard,0,4.0,0,4,4,2D Side-Scrolling Game Renderer Simulation
31,cpp,hard,0,-2.2,0,5,23,Bracket Balancing Problem
32,cpp,easy,0,-2.0,0,0,5,Drama Movie Inventory Management System
33,cpp,hard,1,-4.4,0,0,11,Edge Detection in Grayscale Images
34,cpp,hard,0,-2.8,0,2,14,Advanced 2D Game Player System
35,cpp,medium,0,-2.0,0,0,5,Problem: Thread-Safe Data Statistics Processor
36,cpp,hard,0,-6.6,0,1,20,Gaussian Mixture Model Classifier
37,cpp,hard,0,-3.8,0,1,13,Fibonacci Search Implementation with Statistics
