index,language,title,difficulty,condition_1,condition_2,condition_3
739,javascript,Implement an inventory management system in JavaScript that can handle shopping cart operations. The system should be able to:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
213,go,Write a Go function to parse an RSS feed and return a list of articles.,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
711,javascript,JavaScript Variable Scope Demonstration,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
6,racket,**Problem: Location Details Lookup in Racket**,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
1837,julia,**Problem: Game Text Management System in Julia**,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
1027,shell,Full cleanup sequence,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
2416,php,Write a PHP function `authenticateUser` to implement user authentication and password change functionality. The function should handle the following cases:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
2015,kotlin,Payment Transaction Analysis System,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
275,go,Please implement two functions in Go:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
3759,typescript,Write a TypeScript function `checkLanguageFamily` that determines whether a given programming language or technology belongs to the JavaScript family and returns classification information.,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
1492,dart,Weather Clothing Advisor (Dart Version),hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
212,go,Write a Go function `GitBranchManager` that generates corresponding Git commands based on different Git branch operations. The function needs to handle the following operations:,medium,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
1794,julia,**Game Navigator Implementation in Julia**,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
3800,typescript,Implement a NotesManager class in TypeScript that supports the following functionalities:,medium,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
3783,typescript,Implement a `NewsManager` class in TypeScript with the following functionality:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
857,python,**Python Function: Bangazon Logout Message**,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
592,javascript,Write a JavaScript function `handleEvent` that can handle different types of events and return the corresponding response object. The function should accept two parameters: `eventType` (a string) and `eventData` (an object).,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
2802,r,Test case 1: Discrete probability distribution,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
701,javascript,**JavaScript Programming Problem: Ice Cream Eating Simulator**,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
654,javascript,Implement a simple product database class `ProductDatabase` that supports the following operations:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
375,go,Write a Go function to implement multi-size image scaling functionality.,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
972,shell,Test Case 1: All settings secure,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
1233,csharp,User Validation System,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
2444,php,"Write a PHP function `colorGuessingGame` to implement a color guessing game. The function takes two string parameters: `$targetColor` (the target color) and `$guess` (the player's guessed color), and returns an associative array containing the game result.",easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
740,javascript,Implement a job application system in JavaScript that allows candidates to apply for jobs and withdraw applications. The system should handle various scenarios including authorization checks and error cases.,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
2772,r,Requirements:,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
3515,scala,Class Requirements,easy,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
985,shell,Test 1: Default setup,hard,aligned_docs_examples_tests,docs_without_examples,misaligned_examples_or_tests
