index,language,title,difficulty,condition_1,condition_2,condition_3
3896,typescript,Implement a character system class `CharacterSystem` in TypeScript with the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3787,typescript,Write a TypeScript function `isOperator` that takes a single input parameter and returns a boolean. The function's purpose is to determine whether the given input is not an operator. Specifically:,medium,formatter_normalized,style_divergent,deliberately_noisy
3764,typescript,Implement an extensible ball decoration system using TypeScript with the following classes and decorators:,medium,formatter_normalized,style_divergent,deliberately_noisy
3877,typescript,Write a TypeScript function `conditionalRendering` that returns different strings based on the input parameter's value.,medium,formatter_normalized,style_divergent,deliberately_noisy
3766,typescript,"Write a TypeScript function `classifyAge` that categorizes a person's age into different life stages based on the input. The input can be a number or a non-numeric value, and the function should handle various edge cases and invalid inputs.",medium,formatter_normalized,style_divergent,deliberately_noisy
3719,typescript,TypeScript Image Processor Implementation,hard,formatter_normalized,style_divergent,deliberately_noisy
3721,typescript,"Write a TypeScript function `nextLexicographicalPermutation` that takes a string as input and returns the next lexicographical permutation of that string. If the input string is already the largest possible lexicographical permutation, return ""no answer"".",easy,formatter_normalized,style_divergent,deliberately_noisy
3723,typescript,Write a TypeScript function `stateManager` to manage application state. The function needs to handle the following operations:,hard,formatter_normalized,style_divergent,deliberately_noisy
3724,typescript,"Write a TypeScript function `paginate` that implements array pagination. The function should take an array, current page number, and items per page as parameters, and return an object containing pagination information.",hard,formatter_normalized,style_divergent,deliberately_noisy
3725,typescript,Implement a Promise-based file system operations library with the following functions:,hard,formatter_normalized,style_divergent,deliberately_noisy
3726,typescript,Write a TypeScript function `balanceMessage` that implements message load balancing functionality. The function should distribute input messages to different output channels based on the specified algorithm.,hard,formatter_normalized,style_divergent,deliberately_noisy
3727,typescript,Implement a FenwickTree (Binary Indexed Tree) class in TypeScript that supports the following operations:,hard,formatter_normalized,style_divergent,deliberately_noisy
3728,typescript,Implement a User Authentication and Note Management System in TypeScript,hard,formatter_normalized,style_divergent,deliberately_noisy
3729,typescript,TypeScript Programming Problem: Book Manager Implementation,hard,formatter_normalized,style_divergent,deliberately_noisy
3730,typescript,Write a TypeScript function `initializeExpressServer` that initializes an Express server. The function should accept an optional configuration object as a parameter and return an object containing the operation result.,easy,formatter_normalized,style_divergent,deliberately_noisy
3731,typescript,Write a TypeScript function named `demonstrateShadowing` that takes a string parameter and returns a specifically structured object. The function should demonstrate various aspects of variable scoping and object references.,medium,formatter_normalized,style_divergent,deliberately_noisy
3732,typescript,"Implement a DotsAndBoxesGame class to simulate the auto-completion feature in the Dots and Boxes game. The game involves drawing lines between dots on a grid to form squares. When a player completes the fourth side of a square, they automatically claim that square.",hard,formatter_normalized,style_divergent,deliberately_noisy
3733,typescript,Implement a TypeScript function called `createSendFlowState` that creates a state manager object for managing cryptocurrency transfer states. The state manager should provide the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3734,typescript,Write a TypeScript class `LHCCalculator` that implements Hong Kong Mark Six lottery result analysis. The class should include the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3735,typescript,Implement a simple HTTP request library with GET and POST methods. The requirements are as follows:,hard,formatter_normalized,style_divergent,deliberately_noisy
3736,typescript,Write a TypeScript program to implement a type checking system. The system should include the following two functions:,hard,formatter_normalized,style_divergent,deliberately_noisy
3738,typescript,"Implement an EventManager class in TypeScript that handles event registration and triggering, as well as simulating keyboard and button inputs. The class should have the following methods:",hard,formatter_normalized,style_divergent,deliberately_noisy
3739,typescript,Create a TypeScript module `authUtils` that implements the following three functions:,medium,formatter_normalized,style_divergent,deliberately_noisy
3740,typescript,Write a TypeScript function `isDegreeSequence` that determines whether a given array is a valid degree sequence of a graph. A degree sequence is a non-increasing sequence of vertex degrees in an undirected graph.,hard,formatter_normalized,style_divergent,deliberately_noisy
3741,typescript,"Write a TypeScript function to invert a binary tree. Given the root node of a binary tree `TreeNode`, your task is to create a function called `invertTree` that returns the root node of the inverted tree.",hard,formatter_normalized,style_divergent,deliberately_noisy
3742,typescript,Implement a LambdaContext class to simulate the execution context of AWS Lambda. The class should provide the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3743,typescript,Write a TypeScript function `generateNonDivisibleNumbers` that takes an integer `n` as input and returns an array of numbers from 1 to `n` excluding any numbers divisible by 21.,hard,formatter_normalized,style_divergent,deliberately_noisy
3744,typescript,Write a TypeScript function `createReducerManager` that returns an object with the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3745,typescript,TypeScript Programming Problem: Cryptocurrency Information Display,hard,formatter_normalized,style_divergent,deliberately_noisy
3746,typescript,Implement an object property handling utility with the following functions:,medium,formatter_normalized,style_divergent,deliberately_noisy
3747,typescript,Implement a TypeScript class `QueryBuilder` that provides SQL query building functionality with the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3748,typescript,Write a TypeScript class `Key` to represent musical keys. The class should meet the following requirements:,medium,formatter_normalized,style_divergent,deliberately_noisy
3749,typescript,TypeScript Programming Problem: Create a Weekly Meal Plan,hard,formatter_normalized,style_divergent,deliberately_noisy
3750,typescript,Write a TypeScript function `processObjectIds` that processes an array of object IDs and returns the processing result. The function must meet the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3751,typescript,Implement a stack data structure that supports retrieving the minimum value,easy,formatter_normalized,style_divergent,deliberately_noisy
3752,typescript,"Write a TypeScript function named `encodeText` that encrypts input text by shifting each character's Unicode code point by a given integer (encryption key). If the encrypted character falls outside the printable Unicode range, it can be displayed as any character.",easy,formatter_normalized,style_divergent,deliberately_noisy
3753,typescript,Write a TypeScript function `demonstrateScope` that takes a string parameter representing different scope types and returns an object containing variable information corresponding to that scope type.,medium,formatter_normalized,style_divergent,deliberately_noisy
3754,typescript,Implement a simple in-memory database class called SimulatedDB in TypeScript that supports the following operations:,hard,formatter_normalized,style_divergent,deliberately_noisy
3755,typescript,Implement an authentication system class AuthSystem in TypeScript that supports the following features:,hard,formatter_normalized,style_divergent,deliberately_noisy
3756,typescript,Write a TypeScript function `configureExpressServer` that validates and configures parameters for an Express server. The function should accept a configuration object as a parameter and return an object containing the configuration result.,hard,formatter_normalized,style_divergent,deliberately_noisy
3757,typescript,Create a TypeScript class `TransportationSchedule` to simulate the operational status of a transportation schedule. The class needs to implement the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3758,typescript,Write a TypeScript function `isValidBishopMove` to determine if a bishop's move in chess is valid.,hard,formatter_normalized,style_divergent,deliberately_noisy
3759,typescript,Write a TypeScript function `checkLanguageFamily` that determines whether a given programming language or technology belongs to the JavaScript family and returns classification information.,hard,formatter_normalized,style_divergent,deliberately_noisy
3760,typescript,Implement a cryptocurrency wallet simulator class CryptoWalletSimulator in TypeScript that includes the following functionalities:,hard,formatter_normalized,style_divergent,deliberately_noisy
3761,typescript,Write a TypeScript function `graphDFS` that performs a depth-first search (DFS) traversal on a given directed graph and returns the order of visited nodes during the traversal.,easy,formatter_normalized,style_divergent,deliberately_noisy
3762,typescript,Implement a user management system using TypeScript. Create a `UserSystem` class with the following functionality:,medium,formatter_normalized,style_divergent,deliberately_noisy
3763,typescript,Implement an association management system that can manage information about multiple associations and provide query functionality. The system needs to implement the following features:,hard,formatter_normalized,style_divergent,deliberately_noisy
3765,typescript,Implement an N-ary tree preorder traversal algorithm. You need to provide two implementations: recursive and iterative.,hard,formatter_normalized,style_divergent,deliberately_noisy
3767,typescript,Write a TypeScript function `dbManager.query` that can execute database queries and return results. The function needs to handle the following scenarios:,medium,formatter_normalized,style_divergent,deliberately_noisy
3768,typescript,Implement a plugin management system using TypeScript. Create an `AddinSystem` class with the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3769,typescript,Implement a bank account class (Account) using TypeScript. The class should support the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3770,typescript,Write a TypeScript function named `mathOperations` that performs various mathematical operations based on the specified operation type. The function should:,medium,formatter_normalized,style_divergent,deliberately_noisy
3771,typescript,Write a TypeScript function `authenticateRequest` to handle HTTP request authentication. The function should accept an object containing authorization information as a parameter and return appropriate status codes and messages based on different validation scenarios.,hard,formatter_normalized,style_divergent,deliberately_noisy
3772,typescript,Write a TypeScript function `solveHanoiTower` that solves the Tower of Hanoi problem and returns detailed move steps. The function should accept a non-negative integer parameter representing the number of disks and return an object containing:,hard,formatter_normalized,style_divergent,deliberately_noisy
3773,typescript,Write a TypeScript function `configureExpressServer` that configures an Express server and returns an object containing configuration information and a start method.,hard,formatter_normalized,style_divergent,deliberately_noisy
3774,typescript,Write a TypeScript function `analyzeObjectProperties` that takes an object as input and returns an object with the following properties:,hard,formatter_normalized,style_divergent,deliberately_noisy
3775,typescript,"Write a TypeScript function `numberBaseConverter` that converts numbers between different bases. The function should take two parameters: a string representing the number and a string representing the original base, and return an object containing the number's representation in decimal (dec), binary (bin), octal (oct), and hexadecimal (hex) formats.",medium,formatter_normalized,style_divergent,deliberately_noisy
3776,typescript,Create a TypeScript module `areaUtils` that implements the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3777,typescript,Write a TypeScript function `processBanRequest` that implements a ban functionality in a community member management system. The function should determine whether to allow the ban operation based on the user's permissions.,easy,formatter_normalized,style_divergent,deliberately_noisy
3778,typescript,"Write a TypeScript function `handleHttpRequest` to process HTTP requests and return appropriate responses. The function should return different responses based on the request method, path, and headers.",medium,formatter_normalized,style_divergent,deliberately_noisy
3779,typescript,"Write a TypeScript function `areParenthesesBalanced` that checks if the parentheses in a given string are balanced. Parentheses are considered balanced when every opening parenthesis '(' has a corresponding closing parenthesis ')', and they are properly nested.",easy,formatter_normalized,style_divergent,deliberately_noisy
3780,typescript,Write a TypeScript function `generateInteger` that takes an object describing integer constraints and returns an integer that satisfies all given constraints.,hard,formatter_normalized,style_divergent,deliberately_noisy
3781,typescript,Write a TypeScript program that implements the following two functions:,hard,formatter_normalized,style_divergent,deliberately_noisy
3782,typescript,Implement a simple Todo Manager using TypeScript,hard,formatter_normalized,style_divergent,deliberately_noisy
3783,typescript,Implement a `NewsManager` class in TypeScript with the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3784,typescript,"Write a TypeScript function `simulateTypewriter` that simulates the typing effect of a typewriter. The function should return an object containing a method `getTextAtTime`, which retrieves the current text state and cursor visibility at a specified time point.",hard,formatter_normalized,style_divergent,deliberately_noisy
3785,typescript,Write a TypeScript function `radixSort` that can sort an array of integers containing both positive and negative numbers. The function should return a new sorted array without modifying the original array.,medium,formatter_normalized,style_divergent,deliberately_noisy
3786,typescript,Implement a media player class `MediaPlayer` that can handle playing movies and TV series. The requirements are as follows:,medium,formatter_normalized,style_divergent,deliberately_noisy
3788,typescript,Write a TypeScript function `authenticateUser` that implements user authentication system for login and registration. The function should handle the following scenarios:,hard,formatter_normalized,style_divergent,deliberately_noisy
3789,typescript,Implement a simple route handler class `RouteHandler` that can handle different types of HTTP requests and return appropriate responses. The requirements are:,hard,formatter_normalized,style_divergent,deliberately_noisy
3790,typescript,Implement an EventEmitter class in TypeScript that supports the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3791,typescript,"Implement a simple chat server simulator that can handle user login, logout, sending messages, and heartbeat detection.",medium,formatter_normalized,style_divergent,deliberately_noisy
3792,typescript,Implement a Binary Search Tree (BST) class in TypeScript with the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3793,typescript,"Write a TypeScript function `evaluateConditions` that takes three numeric parameters (a, b, c) and returns a boolean value. The function should satisfy the following conditions:",hard,formatter_normalized,style_divergent,deliberately_noisy
3794,typescript,Implement a user profile management system using TypeScript. Create a UserProfileManager class with the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3795,typescript,Write a TypeScript function `manageTodos` to manage a todo list. The function should handle different operations to modify the todo list.,hard,formatter_normalized,style_divergent,deliberately_noisy
3796,typescript,Write a TypeScript function `performOperation` that takes a number as input and returns an object with the following properties:,hard,formatter_normalized,style_divergent,deliberately_noisy
3797,typescript,"Implement a UserManager class in TypeScript that handles user registration, login, logout, and event management with the following requirements:",hard,formatter_normalized,style_divergent,deliberately_noisy
3798,typescript,Implement a selection sort function `selectionSort` in TypeScript that meets the following requirements:,easy,formatter_normalized,style_divergent,deliberately_noisy
3799,typescript,Implement a simple authentication system with the following features:,hard,formatter_normalized,style_divergent,deliberately_noisy
3800,typescript,Implement a NotesManager class in TypeScript that supports the following functionalities:,medium,formatter_normalized,style_divergent,deliberately_noisy
3801,typescript,Implement a State Memory Manager,easy,formatter_normalized,style_divergent,deliberately_noisy
3802,typescript,Implement a tree data structure and its basic operations in TypeScript.,hard,formatter_normalized,style_divergent,deliberately_noisy
3803,typescript,Implement a Tic-Tac-Toe game class `TicTacToe` with the following functionality:,easy,formatter_normalized,style_divergent,deliberately_noisy
3804,typescript,Create a TypeScript module `SymbolGenerator` that implements the following two functions:,hard,formatter_normalized,style_divergent,deliberately_noisy
3805,typescript,Write a TypeScript function `createUserProfileManager` that creates and manages user profiles. The function should return an object containing the following methods:,easy,formatter_normalized,style_divergent,deliberately_noisy
3806,typescript,Implement a MockRequestService class to simulate HTTP request services. The class should support the following methods:,hard,formatter_normalized,style_divergent,deliberately_noisy
3807,typescript,Implement an LRU (Least Recently Used) cache class named `LRUCache` in TypeScript. The class should support the following operations:,hard,formatter_normalized,style_divergent,deliberately_noisy
3808,typescript,Write a TypeScript function `updateEmployeeData` that updates employee information and validates the updates. The function must meet the following requirements:,medium,formatter_normalized,style_divergent,deliberately_noisy
3809,typescript,"Implement a user authentication manager function in TypeScript that handles login, signup, and password change operations. The function should validate inputs and return appropriate success/error responses.",hard,formatter_normalized,style_divergent,deliberately_noisy
3810,typescript,"Write a TypeScript function to construct a binary tree from given inorder and postorder traversal arrays, and then serialize the constructed binary tree into an array format.",hard,formatter_normalized,style_divergent,deliberately_noisy
3811,typescript,TypeScript Programming Problem: Author Data Handler,hard,formatter_normalized,style_divergent,deliberately_noisy
3812,typescript,Implement a voting management system using TypeScript. Create a `PollManager` class that supports the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3813,typescript,Write a TypeScript function `determineGrade` that returns the corresponding grade based on a given score. The score-to-grade mapping is as follows:,hard,formatter_normalized,style_divergent,deliberately_noisy
3814,typescript,Write a TypeScript class `InventoryManager` to manage product inventory. The class needs to implement the following functionalities:,hard,formatter_normalized,style_divergent,deliberately_noisy
3815,typescript,Write a TypeScript function `safeEval` that can safely execute a given JavaScript code string and return the computation result or an error message. The function should meet the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3816,typescript,Implement the following four functions in TypeScript:,easy,formatter_normalized,style_divergent,deliberately_noisy
3817,typescript,Write a TypeScript function `htmlEntityDecoder` that decodes a string containing HTML entity encodings into their corresponding characters.,hard,formatter_normalized,style_divergent,deliberately_noisy
3818,typescript,Write a TypeScript function `checkSemiPerfectNumber` that takes a positive integer as input and returns an object with the following properties:,hard,formatter_normalized,style_divergent,deliberately_noisy
3819,typescript,Implement a simple Hangman game function `playHangman` in TypeScript. The function should return an object with the following methods:,medium,formatter_normalized,style_divergent,deliberately_noisy
3820,typescript,Write a TypeScript function `processNoteData` that processes note data and returns formatted results. The function should meet the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3821,typescript,Implement a user authentication system in TypeScript with the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3822,typescript,Implement a TodoManager class to manage todo items. The class should support the following operations:,medium,formatter_normalized,style_divergent,deliberately_noisy
3823,typescript,TypeScript Programming Problem: Text Pairing Manager,medium,formatter_normalized,style_divergent,deliberately_noisy
3824,typescript,"Implement an authentication manager in TypeScript that handles user login, logout, and authentication status checking. The system should manage user sessions and provide appropriate responses for different authentication scenarios.",hard,formatter_normalized,style_divergent,deliberately_noisy
3825,typescript,Write a TypeScript function named `processPersonalInfo` that processes personal information update requests. The function should validate input data and return either the updated personal information or an error message based on the validation results.,hard,formatter_normalized,style_divergent,deliberately_noisy
3826,typescript,"Write a TypeScript function `validateOTP` to validate a One-Time Password (OTP). The function should accept two parameters: a string `otp` and a number `expectedLength`, and return an object containing the validation results.",hard,formatter_normalized,style_divergent,deliberately_noisy
3827,typescript,Implement an AuthorService class in TypeScript that supports the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3828,typescript,Write a TypeScript program to implement a tooltip generation system with the following two functions:,hard,formatter_normalized,style_divergent,deliberately_noisy
3829,typescript,"Implement a TypeScript function `youtubeSearchSimulator` that simulates YouTube's search functionality. The function should accept a search term and an optional page token as parameters, and return an object containing search results and related pagination information.",hard,formatter_normalized,style_divergent,deliberately_noisy
3830,typescript,Write a TypeScript function `checkPersonStatus` that determines a person's status based on their age and returns an object with relevant information. The function should handle various input scenarios including different data types and edge cases.,hard,formatter_normalized,style_divergent,deliberately_noisy
3831,typescript,Implement a user management system using TypeScript. Create a `UserManager` class with the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3832,typescript,Implement an ObjectGroupManager class in TypeScript to manage a group of objects with the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3833,typescript,"Write a TypeScript function `authenticateUser` that implements user authentication. The function should verify a username and password, and return user information along with an access token upon successful authentication.",hard,formatter_normalized,style_divergent,deliberately_noisy
3834,typescript,"Write a TypeScript function named `flattenify` that takes an array which may contain nested arrays as input, and returns a new flattened array where all elements from nested arrays are extracted to the top level. If the input is not an array, return the error message ""Error: Input must be an array"".",hard,formatter_normalized,style_divergent,deliberately_noisy
3835,typescript,Write a TypeScript function `oddishOrEvenish` that takes an integer as input and returns a string 'Oddish' or 'Evenish'. The determination is made as follows:,easy,formatter_normalized,style_divergent,deliberately_noisy
3836,typescript,Implement a TaskManager class in TypeScript that supports the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3837,typescript,Implement a simple user authentication system class called AuthSystem with the following functionality:,hard,formatter_normalized,style_divergent,deliberately_noisy
3838,typescript,Implement a music menu handler class called MenuHandler with the following requirements:,hard,formatter_normalized,style_divergent,deliberately_noisy
3839,typescript,Write a TypeScript function `findAnagrams` that accepts two parameters:,hard,formatter_normalized,style_divergent,deliberately_noisy
