suite_id,baseline_condition,condition,source_index,difficulty,title,baseline_success,condition_success,outcome
suite_d,baseline,case_with,1,hard,**Problem: Generate MD5 Hash of a String**,1,0,baseline_only
suite_d,baseline,case_with,2,medium,**Problem: Find Insert Position in Sorted Array**,1,1,same
suite_d,baseline,case_with,3,hard,**Knight's Possible Moves on a Chessboard**,1,1,same
suite_d,baseline,case_with,4,hard,**Problem: Increasing Triplet Subsequence**,1,1,same
suite_d,baseline,case_with,5,easy,**Problem: Find the Single Non-Duplicate Element in a Sorted Array**,1,1,same
suite_d,baseline,case_with,6,hard,**Excel Column Title Conversion in Elixir**,1,1,same
suite_d,baseline,case_with,7,easy,Test case 1,1,1,same
suite_d,baseline,case_with,8,medium,Test case 1: Simple binary tree with depth 2,1,0,baseline_only
suite_d,baseline,case_with,9,medium,"Test case 1: [2, 4, 3] + [5, 6, 4] = [7, 0, 8]",1,1,same
suite_d,baseline,case_with,10,hard,**Problem: Adjust Color Luminosity**,1,1,same
suite_d,baseline,case_with,11,hard,**Problem: Counting Integer Partitions**,0,0,same
suite_d,baseline,case_with,12,hard,**Problem Description:**,1,1,same
suite_d,baseline,case_with,13,hard,**Programming Problem: Alice and Bob's Number Game**,1,1,same
suite_d,baseline,case_with,14,easy,**Problem: Simulate Socket Communication Error Handling**,1,1,same
suite_d,baseline,case_with,15,medium,Test case 1: Simple linear graph,1,1,same
suite_d,baseline,case_with,16,hard,**Problem: Counting Bipartite Graphs**,1,1,same
suite_d,baseline,case_with,17,hard,Test case 1: Single synthetic chessboard image,1,1,same
suite_d,baseline,case_with,18,hard,Test Case 1,1,1,same
suite_d,baseline,case_with,19,medium,Test case 1: Simple tier calculation,1,1,same
suite_d,baseline,case_with,20,hard,Implement a 1D Kalman Filter in Elixir that can track and estimate the state of a system over time. The filter should handle both prediction (based on system dynamics) and correction (based on measurements) steps.,1,1,same
suite_d,baseline,case_with,21,medium,Test case 1: Basic substitution,1,1,same
suite_d,baseline,case_with,22,hard,Functions to Implement:,1,1,same
suite_d,baseline,case_with,23,hard,Input Format,1,1,same
suite_d,baseline,case_with,24,medium,**Problem Description:**,1,1,same
suite_d,baseline,case_with,25,hard,**Problem: Minimum Refueling Stops**,0,1,condition_only
suite_d,baseline,case_with,26,medium,Test Case 1: Small memory with sequential access,0,1,condition_only
suite_d,baseline,case_with,27,hard,**Problem: Reorganize String**,0,0,same
suite_d,baseline,case_with,28,medium,Test Case 1,1,1,same
suite_d,baseline,case_with,29,hard,**Kubernetes Object Management Problem in Elixir**,1,1,same
suite_d,baseline,case_with,30,medium,Your implementation here,1,1,same
suite_d,baseline,case_with,31,easy,Test case 1: Both arms,1,1,same
suite_d,baseline,case_with,32,hard,Your implementation here,0,1,condition_only
suite_d,baseline,case_with,33,hard,**Problem: Decoding Ways with Wildcards**,1,1,same
suite_d,baseline,case_with,34,hard,**Problem: Anagram Checker**,1,1,same
suite_d,baseline,case_with,35,medium,**Ball Game Simulation**,1,0,baseline_only
suite_d,baseline,case_with,36,hard,**Minimum Jumps to Reach the End of an Array**,1,1,same
suite_d,baseline,case_with,37,hard,Example 1: Basic case with country and continent,1,1,same
suite_d,baseline,case_with,38,hard,Test case where the API call fails due to network/resolution error,1,0,baseline_only
suite_d,baseline,case_with,39,hard,Input:,1,1,same
suite_d,baseline,case_with,40,hard,Test case 1: Simple binary tree,0,0,same
suite_d,baseline,case_with,41,hard,**Problem: Validate Magic: The Gathering Card Names in Elixir**,1,1,same
suite_d,baseline,case_with,42,hard,**Problem: Count Unique Modulo Results**,1,1,same
suite_d,baseline,case_with,43,hard,**Problem Description:**,1,1,same
suite_d,baseline,case_with,44,medium,Function Names,1,1,same
suite_d,baseline,case_with,45,hard,**Problem Description:**,1,1,same
