index,language,difficulty,success,cleanliness_score,comment_ratio,long_line_ratio,avg_line_length,indent_entropy,identifier_style_mix,title
1,cpp,medium,1,87.24,0.1887,0.0,31.3,1.421,3,String Analysis Problem
2,cpp,easy,0,85.81,0.122,0.0,30.66,1.228,4,Problem: Number Property Analyzer
3,cpp,hard,0,81.63,0.0696,0.0,34.61,2.067,4,Role-Based Person Management System
4,cpp,hard,1,79.69,0.032,0.008,31.01,2.19,4,User Management System
5,cpp,hard,0,81.33,0.1014,0.0145,38.0,2.089,3,Password Strength Validator
6,cpp,hard,0,83.07,0.1111,0.0,33.65,1.744,4,Robot Motion Planner with Obstacle Avoidance
7,cpp,hard,1,76.9,0.0879,0.0,35.75,2.33,4,3D Shape Analyzer Problem
8,cpp,easy,1,79.48,0.0722,0.0,30.49,2.058,4,Binary Tree Operations
9,cpp,hard,0,79.77,0.0182,0.0,36.34,2.236,3,Train Composition Problem
10,cpp,hard,1,77.1,0.1101,0.0183,35.06,2.009,4,Advanced String Utility Class Implementation
11,cpp,hard,0,80.21,0.0889,0.0,31.66,2.3,4,Error Management System
12,cpp,medium,1,87.88,0.1714,0.0,31.31,1.283,3,Problem: Advanced Mathematical Operations Calculator
13,cpp,medium,0,74.05,0.04,0.0267,43.16,2.417,4,Image Rendering System
14,cpp,hard,0,79.59,0.0,0.0,31.87,1.847,4,Status Effects System Implementation
15,cpp,hard,1,77.35,0.1,0.0,43.03,2.619,3,Delivery Route Optimization Problem
16,cpp,hard,0,75.6,0.0946,0.0068,34.19,2.357,4,Air Travel Route Planner
17,cpp,easy,0,77.81,0.0571,0.0095,35.93,2.68,4,Advanced String Analysis Problem
18,cpp,easy,1,82.24,0.24,0.02,38.48,1.535,4,Accelerometer Data Processing Problem
19,cpp,hard,1,76.05,0.0417,0.0139,33.11,1.929,4,Physics Simulation: Ball and Trap System
20,cpp,easy,1,86.55,0.1183,0.0,31.17,1.709,3,String Manipulation Library
21,cpp,hard,1,79.59,0.1079,0.0,32.76,1.805,4,Audio Processing System
22,cpp,hard,1,87.62,0.1463,0.0,34.34,1.48,3,String Processing Problem
23,cpp,hard,0,78.43,0.0,0.0,29.12,2.351,4,Bus Schedule Optimization Problem
24,cpp,easy,1,83.04,0.1111,0.0,28.6,2.059,4,Shared Pointer Management System
25,cpp,medium,1,78.05,0.0476,0.0,26.22,1.687,4,Binary-Decimal Conversion System
26,cpp,easy,0,81.19,0.1538,0.0,42.09,2.191,4,Nunchuk Controller Implementation
27,cpp,hard,0,85.36,0.1552,0.0345,38.31,1.306,3,String Analysis and Manipulation
28,cpp,hard,0,79.64,0.0427,0.0,42.36,2.268,4,Network Packet Builder Implementation
29,cpp,hard,0,79.8,0.0794,0.0,36.4,1.802,4,3D Cube Operations Problem
30,cpp,hard,0,80.18,0.1594,0.0,36.32,2.04,4,2D Side-Scrolling Game Renderer Simulation
31,cpp,hard,0,76.69,0.0211,0.0,32.81,2.571,3,Bracket Balancing Problem
32,cpp,easy,0,83.39,0.0833,0.0,39.4,1.885,3,Drama Movie Inventory Management System
33,cpp,hard,1,79.54,0.1045,0.0,35.52,2.539,3,Edge Detection in Grayscale Images
34,cpp,hard,0,76.83,0.0476,0.0095,32.52,2.156,4,Advanced 2D Game Player System
35,cpp,medium,0,84.9,0.1081,0.0135,32.59,1.564,3,Problem: Thread-Safe Data Statistics Processor
36,cpp,hard,0,76.32,0.1322,0.0,33.64,2.416,4,Gaussian Mixture Model Classifier
37,cpp,hard,0,80.1,0.0548,0.0,29.27,1.87,4,Fibonacci Search Implementation with Statistics
38,cpp,easy,1,80.0,0.0943,0.0,31.09,2.375,4,Graphics Effects Simulation System
39,cpp,hard,1,78.77,0.0275,0.0,34.46,2.123,4,<problem_description>
40,cpp,hard,0,81.26,0.0329,0.0,32.95,1.793,4,<problem_description>
41,cpp,hard,0,75.77,0.0,0.0196,38.77,2.115,4,2D Collision Detection System
42,cpp,easy,1,87.62,0.1923,0.0,28.06,1.353,3,Bit Manipulation Operations
43,cpp,medium,1,86.62,0.1429,0.0,31.51,1.677,3,Digit Analysis Problem
44,cpp,medium,1,83.15,0.1042,0.0,31.36,1.738,4,Database Connection Manager Problem
45,cpp,hard,0,82.9,0.0879,0.0,34.02,2.057,3,Binary Number Converter
