index,language,title,difficulty,variant_1,variant_2,variant_3
82,elixir,Module Requirements:,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
49,elixir,**Problem: Revoke Security Group Access**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
156,elixir,Test case 1: One Pair vs One Pair (higher pair wins),hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
51,elixir,**Elixir GUI Layout Configuration**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
123,elixir,Test case 1: Basic rectangle creation and area calculation,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
152,elixir,**Problem: Format Difference as Plain Text**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
130,elixir,Test Case 1: Basic insertion and retrieval,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
184,elixir,Test case 1: Simple word translation,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
140,elixir,Test case 1: Valid token with user data,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
29,elixir,**Kubernetes Object Management Problem in Elixir**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
20,elixir,Implement a 1D Kalman Filter in Elixir that can track and estimate the state of a system over time. The filter should handle both prediction (based on system dynamics) and correction (based on measurements) steps.,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
133,elixir,Test case 1,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
113,elixir,**Problem: Extract Personal Information from Text**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
28,elixir,Test Case 1,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
117,elixir,**Problem: Network Interface MAC Address Processor**,easy,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
70,elixir,Test Case 1 - Valid parameters,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
84,elixir,... other element-specific properties,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
105,elixir,Expected result:,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
153,elixir,Test case 1: Text normalization,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
87,elixir,Test Case 1 - Graph1,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
73,elixir,Test count_posts,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
122,elixir,Your implementation here,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
129,elixir,**Blackjack Winner Determination in Elixir**,medium,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
128,elixir,Functions to Implement:,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
175,elixir,**Elixir Programming Problem: Port Scanner**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
127,elixir,**Problem: Calculate Statistical Measures for Paired Data**,hard,function_head_or_pattern_matching,case_or_with_dispatch,imperative_branching
