experiment_id,task_id,language,condition_id,title,success
acct_balance_rollup:elixir:baseline_compact,acct_balance_rollup,elixir,baseline_compact,Account Balance Rollup,0
acct_balance_rollup:elixir:rich_contract,acct_balance_rollup,elixir,rich_contract,Account Balance Rollup,0
acct_balance_rollup:elixir:rich_contract_examples,acct_balance_rollup,elixir,rich_contract_examples,Account Balance Rollup,0
acct_balance_rollup:python:baseline_compact,acct_balance_rollup,python,baseline_compact,Account Balance Rollup,1
acct_balance_rollup:python:rich_contract,acct_balance_rollup,python,rich_contract,Account Balance Rollup,1
acct_balance_rollup:python:rich_contract_examples,acct_balance_rollup,python,rich_contract_examples,Account Balance Rollup,1
acct_balance_rollup:typescript:baseline_compact,acct_balance_rollup,typescript,baseline_compact,Account Balance Rollup,1
acct_balance_rollup:typescript:rich_contract,acct_balance_rollup,typescript,rich_contract,Account Balance Rollup,1
acct_balance_rollup:typescript:rich_contract_examples,acct_balance_rollup,typescript,rich_contract_examples,Account Balance Rollup,1
bracket_balance_report:elixir:baseline_compact,bracket_balance_report,elixir,baseline_compact,Bracket Balance Report,1
bracket_balance_report:elixir:rich_contract,bracket_balance_report,elixir,rich_contract,Bracket Balance Report,1
bracket_balance_report:elixir:rich_contract_examples,bracket_balance_report,elixir,rich_contract_examples,Bracket Balance Report,1
bracket_balance_report:python:baseline_compact,bracket_balance_report,python,baseline_compact,Bracket Balance Report,1
bracket_balance_report:python:rich_contract,bracket_balance_report,python,rich_contract,Bracket Balance Report,1
bracket_balance_report:python:rich_contract_examples,bracket_balance_report,python,rich_contract_examples,Bracket Balance Report,1
bracket_balance_report:typescript:baseline_compact,bracket_balance_report,typescript,baseline_compact,Bracket Balance Report,1
bracket_balance_report:typescript:rich_contract,bracket_balance_report,typescript,rich_contract,Bracket Balance Report,1
bracket_balance_report:typescript:rich_contract_examples,bracket_balance_report,typescript,rich_contract_examples,Bracket Balance Report,1
csv_split_quoted:elixir:baseline_compact,csv_split_quoted,elixir,baseline_compact,CSV Split With Quotes,1
csv_split_quoted:elixir:rich_contract,csv_split_quoted,elixir,rich_contract,CSV Split With Quotes,1
csv_split_quoted:elixir:rich_contract_examples,csv_split_quoted,elixir,rich_contract_examples,CSV Split With Quotes,1
csv_split_quoted:python:baseline_compact,csv_split_quoted,python,baseline_compact,CSV Split With Quotes,1
csv_split_quoted:python:rich_contract,csv_split_quoted,python,rich_contract,CSV Split With Quotes,1
csv_split_quoted:python:rich_contract_examples,csv_split_quoted,python,rich_contract_examples,CSV Split With Quotes,1
csv_split_quoted:typescript:baseline_compact,csv_split_quoted,typescript,baseline_compact,CSV Split With Quotes,1
csv_split_quoted:typescript:rich_contract,csv_split_quoted,typescript,rich_contract,CSV Split With Quotes,1
csv_split_quoted:typescript:rich_contract_examples,csv_split_quoted,typescript,rich_contract_examples,CSV Split With Quotes,1
dense_rankings:elixir:baseline_compact,dense_rankings,elixir,baseline_compact,Dense Rankings,0
dense_rankings:elixir:rich_contract,dense_rankings,elixir,rich_contract,Dense Rankings,0
dense_rankings:elixir:rich_contract_examples,dense_rankings,elixir,rich_contract_examples,Dense Rankings,1
dense_rankings:python:baseline_compact,dense_rankings,python,baseline_compact,Dense Rankings,1
dense_rankings:python:rich_contract,dense_rankings,python,rich_contract,Dense Rankings,1
dense_rankings:python:rich_contract_examples,dense_rankings,python,rich_contract_examples,Dense Rankings,1
dense_rankings:typescript:baseline_compact,dense_rankings,typescript,baseline_compact,Dense Rankings,1
dense_rankings:typescript:rich_contract,dense_rankings,typescript,rich_contract,Dense Rankings,1
dense_rankings:typescript:rich_contract_examples,dense_rankings,typescript,rich_contract_examples,Dense Rankings,1
dependency_batches:elixir:baseline_compact,dependency_batches,elixir,baseline_compact,Dependency Batches,1
dependency_batches:elixir:rich_contract,dependency_batches,elixir,rich_contract,Dependency Batches,1
dependency_batches:elixir:rich_contract_examples,dependency_batches,elixir,rich_contract_examples,Dependency Batches,1
dependency_batches:python:baseline_compact,dependency_batches,python,baseline_compact,Dependency Batches,1
dependency_batches:python:rich_contract,dependency_batches,python,rich_contract,Dependency Batches,1
dependency_batches:python:rich_contract_examples,dependency_batches,python,rich_contract_examples,Dependency Batches,1
dependency_batches:typescript:baseline_compact,dependency_batches,typescript,baseline_compact,Dependency Batches,1
dependency_batches:typescript:rich_contract,dependency_batches,typescript,rich_contract,Dependency Batches,1
dependency_batches:typescript:rich_contract_examples,dependency_batches,typescript,rich_contract_examples,Dependency Batches,1
inventory_reconcile:elixir:baseline_compact,inventory_reconcile,elixir,baseline_compact,Inventory Reconcile,1
inventory_reconcile:elixir:rich_contract,inventory_reconcile,elixir,rich_contract,Inventory Reconcile,1
inventory_reconcile:elixir:rich_contract_examples,inventory_reconcile,elixir,rich_contract_examples,Inventory Reconcile,1
inventory_reconcile:python:baseline_compact,inventory_reconcile,python,baseline_compact,Inventory Reconcile,1
inventory_reconcile:python:rich_contract,inventory_reconcile,python,rich_contract,Inventory Reconcile,1
inventory_reconcile:python:rich_contract_examples,inventory_reconcile,python,rich_contract_examples,Inventory Reconcile,1
inventory_reconcile:typescript:baseline_compact,inventory_reconcile,typescript,baseline_compact,Inventory Reconcile,1
inventory_reconcile:typescript:rich_contract,inventory_reconcile,typescript,rich_contract,Inventory Reconcile,1
inventory_reconcile:typescript:rich_contract_examples,inventory_reconcile,typescript,rich_contract_examples,Inventory Reconcile,1
merge_intervals:elixir:baseline_compact,merge_intervals,elixir,baseline_compact,Merge Touching Intervals,1
merge_intervals:elixir:rich_contract,merge_intervals,elixir,rich_contract,Merge Touching Intervals,1
merge_intervals:elixir:rich_contract_examples,merge_intervals,elixir,rich_contract_examples,Merge Touching Intervals,1
merge_intervals:python:baseline_compact,merge_intervals,python,baseline_compact,Merge Touching Intervals,1
merge_intervals:python:rich_contract,merge_intervals,python,rich_contract,Merge Touching Intervals,1
merge_intervals:python:rich_contract_examples,merge_intervals,python,rich_contract_examples,Merge Touching Intervals,1
merge_intervals:typescript:baseline_compact,merge_intervals,typescript,baseline_compact,Merge Touching Intervals,1
merge_intervals:typescript:rich_contract,merge_intervals,typescript,rich_contract,Merge Touching Intervals,1
merge_intervals:typescript:rich_contract_examples,merge_intervals,typescript,rich_contract_examples,Merge Touching Intervals,1
normalize_phone_book:elixir:baseline_compact,normalize_phone_book,elixir,baseline_compact,Normalize Phone Book,0
normalize_phone_book:elixir:rich_contract,normalize_phone_book,elixir,rich_contract,Normalize Phone Book,0
normalize_phone_book:elixir:rich_contract_examples,normalize_phone_book,elixir,rich_contract_examples,Normalize Phone Book,0
normalize_phone_book:python:baseline_compact,normalize_phone_book,python,baseline_compact,Normalize Phone Book,1
normalize_phone_book:python:rich_contract,normalize_phone_book,python,rich_contract,Normalize Phone Book,1
normalize_phone_book:python:rich_contract_examples,normalize_phone_book,python,rich_contract_examples,Normalize Phone Book,0
normalize_phone_book:typescript:baseline_compact,normalize_phone_book,typescript,baseline_compact,Normalize Phone Book,1
normalize_phone_book:typescript:rich_contract,normalize_phone_book,typescript,rich_contract,Normalize Phone Book,1
normalize_phone_book:typescript:rich_contract_examples,normalize_phone_book,typescript,rich_contract_examples,Normalize Phone Book,0
queue_wait_times:elixir:baseline_compact,queue_wait_times,elixir,baseline_compact,Queue Wait Times,1
queue_wait_times:elixir:rich_contract,queue_wait_times,elixir,rich_contract,Queue Wait Times,1
queue_wait_times:elixir:rich_contract_examples,queue_wait_times,elixir,rich_contract_examples,Queue Wait Times,1
queue_wait_times:python:baseline_compact,queue_wait_times,python,baseline_compact,Queue Wait Times,1
queue_wait_times:python:rich_contract,queue_wait_times,python,rich_contract,Queue Wait Times,1
queue_wait_times:python:rich_contract_examples,queue_wait_times,python,rich_contract_examples,Queue Wait Times,1
queue_wait_times:typescript:baseline_compact,queue_wait_times,typescript,baseline_compact,Queue Wait Times,1
queue_wait_times:typescript:rich_contract,queue_wait_times,typescript,rich_contract,Queue Wait Times,1
queue_wait_times:typescript:rich_contract_examples,queue_wait_times,typescript,rich_contract_examples,Queue Wait Times,1
rule_based_discount:elixir:baseline_compact,rule_based_discount,elixir,baseline_compact,Rule Based Discount,0
rule_based_discount:elixir:rich_contract,rule_based_discount,elixir,rich_contract,Rule Based Discount,0
rule_based_discount:elixir:rich_contract_examples,rule_based_discount,elixir,rich_contract_examples,Rule Based Discount,1
rule_based_discount:python:baseline_compact,rule_based_discount,python,baseline_compact,Rule Based Discount,0
rule_based_discount:python:rich_contract,rule_based_discount,python,rich_contract,Rule Based Discount,0
rule_based_discount:python:rich_contract_examples,rule_based_discount,python,rich_contract_examples,Rule Based Discount,0
rule_based_discount:typescript:baseline_compact,rule_based_discount,typescript,baseline_compact,Rule Based Discount,0
rule_based_discount:typescript:rich_contract,rule_based_discount,typescript,rich_contract,Rule Based Discount,0
rule_based_discount:typescript:rich_contract_examples,rule_based_discount,typescript,rich_contract_examples,Rule Based Discount,1
session_durations:elixir:baseline_compact,session_durations,elixir,baseline_compact,Session Durations,0
session_durations:elixir:rich_contract,session_durations,elixir,rich_contract,Session Durations,0
session_durations:elixir:rich_contract_examples,session_durations,elixir,rich_contract_examples,Session Durations,1
session_durations:python:baseline_compact,session_durations,python,baseline_compact,Session Durations,0
session_durations:python:rich_contract,session_durations,python,rich_contract,Session Durations,0
session_durations:python:rich_contract_examples,session_durations,python,rich_contract_examples,Session Durations,1
session_durations:typescript:baseline_compact,session_durations,typescript,baseline_compact,Session Durations,0
session_durations:typescript:rich_contract,session_durations,typescript,rich_contract,Session Durations,0
session_durations:typescript:rich_contract_examples,session_durations,typescript,rich_contract_examples,Session Durations,1
stable_group_runs:elixir:baseline_compact,stable_group_runs,elixir,baseline_compact,Stable Group Runs,0
stable_group_runs:elixir:rich_contract,stable_group_runs,elixir,rich_contract,Stable Group Runs,0
stable_group_runs:elixir:rich_contract_examples,stable_group_runs,elixir,rich_contract_examples,Stable Group Runs,1
stable_group_runs:python:baseline_compact,stable_group_runs,python,baseline_compact,Stable Group Runs,1
stable_group_runs:python:rich_contract,stable_group_runs,python,rich_contract,Stable Group Runs,1
stable_group_runs:python:rich_contract_examples,stable_group_runs,python,rich_contract_examples,Stable Group Runs,1
stable_group_runs:typescript:baseline_compact,stable_group_runs,typescript,baseline_compact,Stable Group Runs,1
stable_group_runs:typescript:rich_contract,stable_group_runs,typescript,rich_contract,Stable Group Runs,1
stable_group_runs:typescript:rich_contract_examples,stable_group_runs,typescript,rich_contract_examples,Stable Group Runs,1
threshold_bursts:elixir:baseline_compact,threshold_bursts,elixir,baseline_compact,Threshold Bursts,1
threshold_bursts:elixir:rich_contract,threshold_bursts,elixir,rich_contract,Threshold Bursts,1
threshold_bursts:elixir:rich_contract_examples,threshold_bursts,elixir,rich_contract_examples,Threshold Bursts,1
threshold_bursts:python:baseline_compact,threshold_bursts,python,baseline_compact,Threshold Bursts,1
threshold_bursts:python:rich_contract,threshold_bursts,python,rich_contract,Threshold Bursts,1
threshold_bursts:python:rich_contract_examples,threshold_bursts,python,rich_contract_examples,Threshold Bursts,1
threshold_bursts:typescript:baseline_compact,threshold_bursts,typescript,baseline_compact,Threshold Bursts,1
threshold_bursts:typescript:rich_contract,threshold_bursts,typescript,rich_contract,Threshold Bursts,1
threshold_bursts:typescript:rich_contract_examples,threshold_bursts,typescript,rich_contract_examples,Threshold Bursts,1
token_bucket_decisions:elixir:baseline_compact,token_bucket_decisions,elixir,baseline_compact,Token Bucket Decisions,0
token_bucket_decisions:elixir:rich_contract,token_bucket_decisions,elixir,rich_contract,Token Bucket Decisions,0
token_bucket_decisions:elixir:rich_contract_examples,token_bucket_decisions,elixir,rich_contract_examples,Token Bucket Decisions,0
token_bucket_decisions:python:baseline_compact,token_bucket_decisions,python,baseline_compact,Token Bucket Decisions,0
