language,rows,passed,pass_rate,mean_style_stability_score,mean_style_entropy,mean_indent_entropy,mean_line_length_entropy,success_feature_corr
elixir,198,173,87.4,1.428,8.304,2.056,2.75,0.088
kotlin,200,153,76.5,0.025,8.836,2.187,2.856,-0.117
csharp,199,144,72.4,0.046,8.747,1.957,2.974,-0.103
ruby,200,126,63.0,3.825,7.829,1.606,2.676,0.181
julia,200,114,57.0,1.413,7.924,1.654,2.8,0.002
dart,200,113,56.5,0.101,8.682,1.931,2.794,-0.077
r,198,108,54.5,2.169,7.89,1.588,2.804,0.05
java,188,96,51.1,0.009,8.846,2.314,2.934,0.072
racket,196,100,51.0,3.773,7.455,2.415,2.707,-0.033
scala,199,101,50.8,0.148,8.702,1.969,2.9,0.124
shell,188,95,50.5,1.221,7.831,1.595,2.735,-0.159
cpp,186,93,50.0,0.025,8.756,2.01,2.857,-0.041
typescript,199,98,49.2,0.119,8.582,2.003,2.798,-0.02
perl,200,89,44.5,3.317,7.515,1.502,2.611,0.045
python,196,86,43.9,1.064,7.918,1.653,2.8,0.081
swift,200,87,43.5,0.303,8.544,1.773,2.856,0.061
go,191,82,42.9,25.516,6.187,0.107,2.393,0.055
javascript,184,79,42.9,0.253,8.443,1.998,2.749,0.201
rust,199,80,40.2,0.007,8.705,2.046,2.896,0.122
php,199,71,35.7,0.103,8.819,2.114,2.804,-0.058
