index,language,difficulty,success,alignment_score,question_canonical_overlap,question_test_overlap,canonical_test_overlap,title
1,cpp,medium,1,16.8,0.1436,0.1636,0.2049,String Analysis Problem
2,cpp,easy,0,25.02,0.2357,0.1951,0.3247,Problem: Number Property Analyzer
3,cpp,hard,0,27.41,0.3674,0.1942,0.2297,Role-Based Person Management System
4,cpp,hard,1,26.24,0.3102,0.2154,0.2455,User Management System
5,cpp,hard,0,25.75,0.2487,0.1875,0.3391,Password Strength Validator
6,cpp,hard,0,19.95,0.2576,0.1263,0.1953,Robot Motion Planner with Obstacle Avoidance
7,cpp,hard,1,18.36,0.2362,0.107,0.1901,3D Shape Analyzer Problem
8,cpp,easy,1,23.21,0.322,0.133,0.2114,Binary Tree Operations
9,cpp,hard,0,24.46,0.2699,0.1333,0.322,Train Composition Problem
10,cpp,hard,1,27.25,0.3621,0.1754,0.25,Advanced String Utility Class Implementation
11,cpp,hard,0,32.05,0.3973,0.2133,0.3252,Error Management System
12,cpp,medium,1,27.2,0.2553,0.2374,0.3288,Problem: Advanced Mathematical Operations Calculator
13,cpp,medium,0,23.76,0.316,0.1312,0.2393,Image Rendering System
14,cpp,hard,0,33.45,0.348,0.2476,0.4032,Status Effects System Implementation
15,cpp,hard,1,17.96,0.1931,0.1179,0.2234,Delivery Route Optimization Problem
16,cpp,hard,0,22.47,0.3065,0.1674,0.173,Air Travel Route Planner
17,cpp,easy,0,21.35,0.1958,0.1692,0.2816,Advanced String Analysis Problem
18,cpp,easy,1,33.72,0.4497,0.1968,0.3276,Accelerometer Data Processing Problem
19,cpp,hard,1,24.53,0.3182,0.1436,0.25,Physics Simulation: Ball and Trap System
20,cpp,easy,1,25.72,0.3049,0.2338,0.2171,String Manipulation Library
21,cpp,hard,1,30.18,0.3682,0.2181,0.2969,Audio Processing System
22,cpp,hard,1,19.15,0.2222,0.1325,0.2095,String Processing Problem
23,cpp,hard,0,16.95,0.2417,0.1122,0.1304,Bus Schedule Optimization Problem
24,cpp,easy,1,30.21,0.3275,0.2067,0.3636,Shared Pointer Management System
25,cpp,medium,1,17.48,0.1732,0.071,0.2807,Binary-Decimal Conversion System
26,cpp,easy,0,26.32,0.3478,0.1667,0.2468,Nunchuk Controller Implementation
27,cpp,hard,0,25.46,0.3077,0.1848,0.2536,String Analysis and Manipulation
28,cpp,hard,0,25.53,0.3415,0.1673,0.2283,Network Packet Builder Implementation
29,cpp,hard,0,23.3,0.2365,0.191,0.2705,3D Cube Operations Problem
30,cpp,hard,0,21.72,0.3054,0.1068,0.21,2D Side-Scrolling Game Renderer Simulation
31,cpp,hard,0,18.76,0.244,0.1386,0.1613,Bracket Balancing Problem
32,cpp,easy,0,21.92,0.3089,0.1564,0.1624,Drama Movie Inventory Management System
33,cpp,hard,1,19.86,0.285,0.1137,0.1681,Edge Detection in Grayscale Images
34,cpp,hard,0,28.69,0.3243,0.1907,0.3333,Advanced 2D Game Player System
35,cpp,medium,0,24.03,0.2963,0.1508,0.2551,Problem: Thread-Safe Data Statistics Processor
36,cpp,hard,0,25.31,0.3409,0.1422,0.2471,Gaussian Mixture Model Classifier
37,cpp,hard,0,19.03,0.233,0.1146,0.2091,Fibonacci Search Implementation with Statistics
38,cpp,easy,1,32.53,0.3846,0.2127,0.3588,Graphics Effects Simulation System
39,cpp,hard,1,24.73,0.317,0.1245,0.2773,<problem_description>
40,cpp,hard,0,17.25,0.2444,0.1116,0.1377,<problem_description>
41,cpp,hard,0,21.27,0.2757,0.1343,0.2072,2D Collision Detection System
42,cpp,easy,1,25.89,0.3643,0.1081,0.2692,Bit Manipulation Operations
43,cpp,medium,1,24.58,0.2721,0.1933,0.2632,Digit Analysis Problem
44,cpp,medium,1,26.61,0.3191,0.1576,0.3039,Database Connection Manager Problem
45,cpp,hard,0,17.67,0.2717,0.0936,0.1333,Binary Number Converter
46,cpp,hard,1,26.51,0.2525,0.2105,0.3364,Button Input System Implementation
47,cpp,hard,0,20.9,0.2739,0.1404,0.1911,Color Lookup Filter Implementation
48,cpp,easy,1,15.58,0.1652,0.1647,0.1345,Advanced Text Tokenizer Problem
49,cpp,medium,1,18.5,0.22,0.1198,0.2037,Problem: String Analysis for Longest Unique Substrings
50,cpp,hard,1,22.22,0.2658,0.1444,0.242,Trend Analysis Calculator
51,cpp,hard,1,20.89,0.2211,0.1244,0.2772,Array Statistics Analyzer
52,cpp,hard,1,18.76,0.2245,0.1058,0.2203,Password Strength Analyzer and Modifier
53,cpp,hard,0,21.55,0.2473,0.1411,0.2474,Minimum Spanning Tree (MST) Implementation
54,cpp,hard,1,20.6,0.1797,0.2063,0.2407,Process Management and Inter-Process Communication System
55,cpp,medium,1,26.34,0.2979,0.2103,0.2703,Multi-Cloud Computing (MCC) Message Handling System
56,cpp,medium,1,20.63,0.2977,0.1068,0.184,Item-Based Collaborative Filtering System
57,cpp,hard,0,27.17,0.2968,0.2271,0.2828,Logger System Implementation
58,cpp,hard,1,28.95,0.4444,0.1667,0.2059,Steering Behaviors Implementation
59,cpp,medium,1,24.84,0.2735,0.1724,0.2909,Game Entity Management System
60,cpp,hard,1,24.03,0.25,0.1343,0.3333,Wave Generator Simulation
61,cpp,easy,1,25.49,0.2568,0.1776,0.3297,Character Analysis Problem
62,cpp,easy,1,21.32,0.2139,0.1471,0.2784,Binary Number Operations
63,cpp,hard,1,21.96,0.2222,0.1596,0.2762,Problem: Tree Guess Analyzer
64,cpp,easy,1,21.04,0.2895,0.1375,0.1779,String Processing and Analysis
65,cpp,medium,0,25.56,0.3391,0.1667,0.2331,Texture Management System
66,cpp,easy,0,22.44,0.2722,0.1198,0.2653,Gaussian Blur Implementation
67,cpp,hard,0,20.77,0.3176,0.1327,0.1364,Robot Localization using Extended Kalman Filter
68,cpp,medium,0,20.96,0.3167,0.0895,0.1868,Robot PID Controller Simulation
69,cpp,hard,0,18.83,0.1638,0.1543,0.2551,String Analysis and Processing Problem
70,cpp,hard,1,24.0,0.2547,0.1429,0.3176,Sequence Analysis Problem
71,cpp,hard,0,21.19,0.2781,0.1445,0.1909,Problem: Search in Rotated Sorted Array with Duplicates
72,cpp,medium,0,15.8,0.1832,0.0648,0.2174,Wizarding Money Calculator
73,cpp,hard,0,14.73,0.1156,0.1217,0.2151,Text Processing Statistics
74,cpp,hard,0,20.58,0.2541,0.1508,0.1963,Problem: String Pattern Analyzer
75,cpp,hard,0,22.2,0.2353,0.1786,0.2476,String Matching and Similarity Problem
76,cpp,hard,0,24.92,0.2879,0.1649,0.2818,Position Operations in 2D Space
77,cpp,hard,0,24.44,0.2582,0.1893,0.281,Permutation Statistics Generator
78,cpp,hard,0,25.15,0.3011,0.1582,0.2788,2D Platformer Physics Simulation
79,cpp,hard,0,31.9,0.3565,0.2629,0.325,Smart Pointers and Resource Management Problem
80,cpp,hard,0,23.24,0.2543,0.2099,0.2258,<problem_title>CUDA Device Capability Checker</problem_title>
81,cpp,medium,1,19.74,0.2251,0.1355,0.2222,3D Line Segment Operations Problem
82,cpp,hard,1,28.1,0.364,0.1942,0.2569,Error Message Generator System
83,cpp,hard,0,23.78,0.3122,0.1518,0.2246,Physics Simulation Problem
84,cpp,medium,1,20.5,0.218,0.1872,0.2054,Grid Path Finder Problem
85,cpp,hard,0,28.96,0.346,0.1754,0.3287,RPG Equipment and Enchantment System
86,cpp,easy,1,22.06,0.2012,0.1768,0.2903,String Analysis Problem
87,cpp,easy,1,20.24,0.3358,0.071,0.156,Binary Search Operations on Sorted Vectors
88,cpp,hard,0,25.23,0.3487,0.1591,0.2168,Stepper Motor Controller Simulation
89,cpp,hard,0,19.39,0.1768,0.1834,0.2273,String Analysis Problem
90,cpp,medium,1,24.4,0.2768,0.1648,0.2796,Number Analysis Tool
91,cpp,medium,1,20.0,0.2513,0.1128,0.2188,Multi-Dimensional Range Counting Problem
92,cpp,hard,1,21.59,0.2318,0.118,0.2927,Comprehensive Statistics Calculator
93,cpp,hard,0,28.46,0.2783,0.1818,0.3958,Game Collision System Implementation
94,cpp,medium,0,27.88,0.3333,0.1722,0.3125,Union-Find Data Structure Implementation
95,cpp,medium,0,19.92,0.2035,0.1453,0.2473,Problem: String Analysis Metrics
96,cpp,medium,1,20.32,0.2524,0.1023,0.2385,3D Cone Modeling and Analysis
97,cpp,hard,0,23.99,0.3376,0.1571,0.1923,Progress Bar Visualization
98,cpp,hard,1,25.98,0.3333,0.1863,0.2353,Word Frequency Tracker using AVL Tree
99,cpp,hard,0,27.85,0.3042,0.2353,0.2874,Advanced Timer Implementation
100,cpp,easy,1,24.21,0.2774,0.2275,0.2095,Problem: Longest Common Substring Finder
101,cpp,medium,0,18.53,0.2248,0.1103,0.2078,Problem: Enhanced Virtual Machine Simulator
102,cpp,easy,1,16.04,0.1515,0.1366,0.1961,Alphabet Path Finder Problem
103,cpp,easy,1,28.21,0.5083,0.1099,0.1527,Atmospheric Calculations Problem
104,cpp,medium,1,24.55,0.2547,0.1562,0.3226,String Analysis Problem
105,cpp,hard,1,19.48,0.2282,0.1379,0.2072,Rational Number Operations
106,cpp,medium,1,20.41,0.2512,0.1111,0.2344,Binary Tree Analysis Problem
107,cpp,hard,0,22.54,0.2143,0.1746,0.2909,Hotel Stay Planner in Weighted Graphs
108,cpp,hard,0,28.16,0.2831,0.2103,0.3509,Game Character and World Simulation
109,cpp,hard,0,29.09,0.2975,0.2077,0.3654,<Problem Description>
110,cpp,medium,1,18.01,0.2051,0.1477,0.1792,Number Range Analyzer
111,cpp,hard,0,22.88,0.3151,0.1379,0.2047,3D Transformation and Camera Projection System
112,cpp,hard,0,23.52,0.2871,0.1734,0.2276,Constraint Satisfaction Problem Solver
113,cpp,hard,0,30.11,0.4025,0.1885,0.2785,Basketball Scoreboard System
114,cpp,hard,0,23.46,0.3496,0.1429,0.1732,3D Camera System Implementation
115,cpp,hard,0,21.63,0.21,0.1888,0.2522,Sphere Mesh Generator
116,cpp,easy,1,19.6,0.2128,0.1554,0.2143,String Analysis Problem
117,cpp,easy,1,21.36,0.3235,0.0914,0.1892,Bit Manipulation Analyzer
118,cpp,hard,1,30.01,0.3365,0.1902,0.3613,Armor Class Implementation
119,cpp,easy,1,21.74,0.3095,0.1005,0.2115,Time Class Implementation
120,cpp,hard,1,16.33,0.256,0.0842,0.1186,Burrows-Wheeler Transform Implementation
121,cpp,hard,1,21.59,0.3212,0.1023,0.1892,Largest Independent Set in Binary Trees
122,cpp,hard,1,16.33,0.2278,0.099,0.1415,Friend Circles in Social Networks
