language,first_failure_stage,first_failure_outcome,count
cpp,demo,COMPILATION_ERROR,23
cpp,demo,RUNTIME_ERROR,38
cpp,full,COMPILATION_ERROR,1
cpp,full,RUNTIME_ERROR,31
csharp,demo,RUNTIME_ERROR,33
csharp,demo,TIME_LIMIT_EXCEEDED,6
csharp,demo,WRONG_ANSWER,1
csharp,full,RUNTIME_ERROR,15
dart,demo,RUNTIME_ERROR,47
dart,full,RUNTIME_ERROR,40
elixir,demo,RUNTIME_ERROR,17
elixir,full,RUNTIME_ERROR,8
go,demo,RUNTIME_ERROR,54
go,full,RUNTIME_ERROR,55
java,demo,COMPILATION_ERROR,14
java,demo,RUNTIME_ERROR,37
java,full,COMPILATION_ERROR,2
java,full,RUNTIME_ERROR,39
javascript,demo,RUNTIME_ERROR,14
javascript,full,RUNTIME_ERROR,91
julia,demo,RUNTIME_ERROR,43
julia,demo,TIME_LIMIT_EXCEEDED,1
julia,full,RUNTIME_ERROR,42
kotlin,demo,RUNTIME_ERROR,32
kotlin,full,RUNTIME_ERROR,15
perl,demo,RUNTIME_ERROR,93
perl,full,RUNTIME_ERROR,18
php,demo,RUNTIME_ERROR,82
php,full,RUNTIME_ERROR,46
python,demo,RUNTIME_ERROR,35
python,full,RUNTIME_ERROR,75
r,demo,RUNTIME_ERROR,49
r,full,RUNTIME_ERROR,41
racket,demo,RUNTIME_ERROR,77
racket,full,RUNTIME_ERROR,19
ruby,demo,RUNTIME_ERROR,39
ruby,full,RUNTIME_ERROR,35
rust,demo,RUNTIME_ERROR,87
rust,full,RUNTIME_ERROR,31
rust,full,TIME_LIMIT_EXCEEDED,1
scala,demo,RUNTIME_ERROR,63
scala,full,RUNTIME_ERROR,35
shell,demo,RUNTIME_ERROR,33
shell,full,RUNTIME_ERROR,60
swift,demo,RUNTIME_ERROR,79
swift,full,RUNTIME_ERROR,34
typescript,demo,RUNTIME_ERROR,10
typescript,demo,WRONG_ANSWER,45
typescript,full,RUNTIME_ERROR,5
typescript,full,WRONG_ANSWER,41
