suite_id,baseline_condition,condition,source_index,difficulty,title,baseline_success,condition_success,outcome
suite_f,baseline,explicit_state_threading,1,hard,**Problem: Generate MD5 Hash of a String**,1,1,same
suite_f,baseline,explicit_state_threading,2,medium,**Problem: Find Insert Position in Sorted Array**,1,1,same
suite_f,baseline,explicit_state_threading,3,hard,**Knight's Possible Moves on a Chessboard**,1,1,same
suite_f,baseline,explicit_state_threading,4,hard,**Problem: Increasing Triplet Subsequence**,1,1,same
suite_f,baseline,explicit_state_threading,5,easy,**Problem: Find the Single Non-Duplicate Element in a Sorted Array**,1,1,same
suite_f,baseline,explicit_state_threading,6,hard,**Excel Column Title Conversion in Elixir**,1,1,same
suite_f,baseline,explicit_state_threading,7,easy,Test case 1,1,1,same
suite_f,baseline,explicit_state_threading,8,medium,Test case 1: Simple binary tree with depth 2,1,1,same
suite_f,baseline,explicit_state_threading,9,medium,"Test case 1: [2, 4, 3] + [5, 6, 4] = [7, 0, 8]",1,1,same
suite_f,baseline,explicit_state_threading,10,hard,**Problem: Adjust Color Luminosity**,1,1,same
suite_f,baseline,explicit_state_threading,11,hard,**Problem: Counting Integer Partitions**,0,1,condition_only
suite_f,baseline,explicit_state_threading,12,hard,**Problem Description:**,1,1,same
suite_f,baseline,explicit_state_threading,13,hard,**Programming Problem: Alice and Bob's Number Game**,1,1,same
suite_f,baseline,explicit_state_threading,14,easy,**Problem: Simulate Socket Communication Error Handling**,1,1,same
suite_f,baseline,explicit_state_threading,15,medium,Test case 1: Simple linear graph,1,1,same
suite_f,baseline,explicit_state_threading,16,hard,**Problem: Counting Bipartite Graphs**,1,1,same
suite_f,baseline,explicit_state_threading,17,hard,Test case 1: Single synthetic chessboard image,1,1,same
suite_f,baseline,explicit_state_threading,18,hard,Test Case 1,1,1,same
suite_f,baseline,explicit_state_threading,19,medium,Test case 1: Simple tier calculation,1,1,same
suite_f,baseline,explicit_state_threading,20,hard,Implement a 1D Kalman Filter in Elixir that can track and estimate the state of a system over time. The filter should handle both prediction (based on system dynamics) and correction (based on measurements) steps.,1,1,same
suite_f,baseline,explicit_state_threading,21,medium,Test case 1: Basic substitution,1,1,same
suite_f,baseline,explicit_state_threading,22,hard,Functions to Implement:,1,1,same
suite_f,baseline,explicit_state_threading,23,hard,Input Format,1,1,same
suite_f,baseline,explicit_state_threading,24,medium,**Problem Description:**,1,1,same
suite_f,baseline,explicit_state_threading,25,hard,**Problem: Minimum Refueling Stops**,1,1,same
suite_f,baseline,explicit_state_threading,26,medium,Test Case 1: Small memory with sequential access,0,1,condition_only
suite_f,baseline,explicit_state_threading,27,hard,**Problem: Reorganize String**,0,1,condition_only
suite_f,baseline,explicit_state_threading,28,medium,Test Case 1,1,1,same
suite_f,baseline,explicit_state_threading,29,hard,**Kubernetes Object Management Problem in Elixir**,1,1,same
suite_f,baseline,explicit_state_threading,30,medium,Your implementation here,1,1,same
suite_f,baseline,explicit_state_threading,31,easy,Test case 1: Both arms,1,1,same
suite_f,baseline,explicit_state_threading,32,hard,Your implementation here,0,1,condition_only
suite_f,baseline,explicit_state_threading,33,hard,**Problem: Decoding Ways with Wildcards**,1,1,same
suite_f,baseline,explicit_state_threading,34,hard,**Problem: Anagram Checker**,1,1,same
suite_f,baseline,explicit_state_threading,35,medium,**Ball Game Simulation**,0,0,same
