index,language,difficulty,success,docs_score,question_chars,headings,code_blocks,example_markers,has_constraints,has_notes,title
1,cpp,medium,1,32.58,3169,10,2,2,1,1,String Analysis Problem
2,cpp,easy,0,39.3,3704,9,2,6,1,1,Problem: Number Property Analyzer
3,cpp,hard,0,43.3,4120,11,5,4,1,1,Role-Based Person Management System
4,cpp,hard,1,36.3,3804,9,3,2,1,1,User Management System
5,cpp,hard,0,32.54,3144,9,2,2,1,1,Password Strength Validator
6,cpp,hard,0,40.49,3112,11,5,3,1,1,Robot Motion Planner with Obstacle Avoidance
7,cpp,hard,1,30.13,3499,9,1,2,1,1,3D Shape Analyzer Problem
8,cpp,easy,1,32.54,3142,6,2,2,1,1,Binary Tree Operations
9,cpp,hard,0,41.3,3962,11,4,3,1,1,Train Composition Problem
10,cpp,hard,1,33.3,5902,7,2,2,1,1,Advanced String Utility Class Implementation
11,cpp,hard,0,38.3,3746,9,3,3,1,1,Error Management System
12,cpp,medium,1,37.3,3810,11,2,4,1,1,Problem: Advanced Mathematical Operations Calculator
13,cpp,medium,0,39.3,4034,10,6,2,1,1,Image Rendering System
14,cpp,hard,0,34.8,3842,9,3,2,1,0,Status Effects System Implementation
15,cpp,hard,1,33.11,3488,9,2,2,1,1,Delivery Route Optimization Problem
16,cpp,hard,0,39.3,4044,11,5,2,1,1,Air Travel Route Planner
17,cpp,easy,0,39.3,4066,12,2,6,1,1,Advanced String Analysis Problem
18,cpp,easy,1,33.3,3860,7,2,2,1,1,Accelerometer Data Processing Problem
19,cpp,hard,1,36.3,4169,11,3,2,1,1,Physics Simulation: Ball and Trap System
20,cpp,easy,1,41.3,4687,8,5,3,1,1,String Manipulation Library
21,cpp,hard,1,33.09,3472,7,2,2,1,1,Audio Processing System
22,cpp,hard,1,31.59,2575,8,2,2,1,1,String Processing Problem
23,cpp,hard,0,45.3,3752,12,7,7,1,1,Bus Schedule Optimization Problem
24,cpp,easy,1,33.11,3487,7,2,2,1,1,Shared Pointer Management System
25,cpp,medium,1,29.21,2943,7,1,2,1,1,Binary-Decimal Conversion System
26,cpp,easy,0,43.25,3568,13,7,4,1,1,Nunchuk Controller Implementation
27,cpp,hard,0,40.58,2570,8,3,5,1,1,String Analysis and Manipulation
28,cpp,hard,0,36.18,3527,9,3,2,1,1,Network Packet Builder Implementation
29,cpp,hard,0,36.3,3834,10,3,2,1,1,3D Cube Operations Problem
30,cpp,hard,0,33.3,3718,10,2,2,1,1,2D Side-Scrolling Game Renderer Simulation
31,cpp,hard,0,31.38,2449,7,2,2,1,1,Bracket Balancing Problem
32,cpp,easy,0,36.3,4064,9,3,2,1,1,Drama Movie Inventory Management System
33,cpp,hard,1,32.13,2897,8,2,2,1,1,Edge Detection in Grayscale Images
34,cpp,hard,0,33.3,3685,15,2,2,1,1,Advanced 2D Game Player System
35,cpp,medium,0,32.12,2890,8,2,2,1,1,Problem: Thread-Safe Data Statistics Processor
36,cpp,hard,0,32.88,3350,8,2,2,1,1,Gaussian Mixture Model Classifier
37,cpp,hard,0,32.63,3201,8,2,2,1,1,Fibonacci Search Implementation with Statistics
38,cpp,easy,1,39.3,4084,18,4,2,1,1,Graphics Effects Simulation System
39,cpp,hard,1,28.3,5016,0,2,4,1,1,<problem_description>
40,cpp,hard,0,25.3,4266,0,1,4,1,1,<problem_description>
41,cpp,hard,0,39.3,3937,10,4,2,1,1,2D Collision Detection System
42,cpp,easy,1,36.27,2985,7,2,4,1,1,Bit Manipulation Operations
43,cpp,medium,1,32.18,2328,6,1,4,1,1,Digit Analysis Problem
44,cpp,medium,1,36.3,4008,11,3,2,1,1,Database Connection Manager Problem
45,cpp,hard,0,35.65,3211,13,3,2,1,1,Binary Number Converter
46,cpp,hard,1,36.3,3979,12,3,2,1,1,Button Input System Implementation
47,cpp,hard,0,36.3,4076,11,3,2,1,1,Color Lookup Filter Implementation
48,cpp,easy,1,39.3,4299,8,2,6,1,1,Advanced Text Tokenizer Problem
49,cpp,medium,1,43.66,2615,11,5,5,1,1,Problem: String Analysis for Longest Unique Substrings
50,cpp,hard,1,39.3,4027,12,6,2,1,1,Trend Analysis Calculator
51,cpp,hard,1,31.84,2727,7,2,2,1,1,Array Statistics Analyzer
52,cpp,hard,1,38.2,2943,10,6,2,1,1,Password Strength Analyzer and Modifier
53,cpp,hard,0,39.14,2907,9,3,4,1,1,Minimum Spanning Tree (MST) Implementation
54,cpp,hard,1,33.06,3458,8,2,2,1,1,Process Management and Inter-Process Communication System
