audit_id,title,question_excerpt,first_failure_stage,first_failure_outcome,stderr_excerpt,stdout_excerpt,review_failure_category,review_runtime_subtype,review_notes,reviewer
AUD-001,# Gaussian Mixture Model Classifier,# Gaussian Mixture Model Classifier ## Problem Description Implement a Gaussian Mixture Model (GMM) classifier that can load a pre-trained model from a file and perform classification on input feature vectors. The classifier should be able to: 1. Calculate the probability density function for each class 2. Compute posterior probabiliti...,demo,COMPILATION_ERROR,"test.cpp:105:2: error: expected ‘}’ at end of input 105 | } | ^ test.cpp:14:19: note: to match this ‘{’ 14 | class EnhancedGMM { | ^ In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/...",,,,,
AUD-002,<problem_description>,"<problem_description> Implement a 3D sprite system that can handle transformations, perspective projection, and basic geometric calculations. The system should consist of three main components: 1. A `Vector4` class representing 4D vectors with common vector operations 2. A `Matrix4x4` class representing 4x4 transformation matrices with...",demo,COMPILATION_ERROR,"test.cpp:215:2: error: expected ‘}’ at end of input 215 | } | ^ test.cpp:54:17: note: to match this ‘{’ 54 | class Matrix4x4 { | ^ In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/io...",,,,,
AUD-003,# Texture Management System,"# Texture Management System ## Problem Description Implement a `TextureManager` class that manages texture resources for a graphics application. The class should handle loading textures from files, storing texture information, and providing access to texture properties. The system should support mipmap generation and texture binding to...",demo,COMPILATION_ERROR,test.cpp: In function ‘void test()’: test.cpp:130:22: error: aggregate ‘IDirect3DDevice9 device’ has incomplete type and cannot be defined 130 | IDirect3DDevice9 device; | ^~~~~~,,,,,
AUD-004,# 2D Platformer Physics Simulation,"# 2D Platformer Physics Simulation ## Problem Description Implement a simple 2D physics engine for a platformer game that handles player movement, gravity, and platform collisions. The system should track a player's position and detect collisions with different types of platforms, applying appropriate physics responses. ## Class Requir...",demo,COMPILATION_ERROR,"test.cpp:186:2: error: expected ‘}’ at end of input 186 | } | ^ test.cpp:117:21: note: to match this ‘{’ 117 | class PhysicsEngine { | ^ test.cpp: In constructor ‘PhysicsEngine::PhysicsEngine(const std::vector<Platform>&, const Player&)’: test.cpp:120:11: error: class ‘PhysicsEngine’ does not have any field named ‘platforms’ 120 | : pl...",,,,,
AUD-005,<problem_title>CUDA Device Capability Checker</problem_title>,<problem_title>CUDA Device Capability Checker</problem_title> <problem_description> You are tasked with implementing a CUDA device capability checker that verifies if a system meets the minimum requirements for running CUDA applications. The checker should provide detailed information about available CUDA devices and validate their com...,demo,COMPILATION_ERROR,test.cpp:6:10: fatal error: cuda_runtime.h: No such file or directory 6 | #include <cuda_runtime.h> | ^~~~~~~~~~~~~~~~ compilation terminated.,,,,,
AUD-006,# Stepper Motor Controller Simulation,# Stepper Motor Controller Simulation ## Problem Description Implement a class to simulate the control of a stepper motor with acceleration/deceleration profiles. The controller should manage both targeted movements (moving to specific positions) and continuous movements (running at constant speed). ## Class Requirements Implement a `S...,demo,COMPILATION_ERROR,test.cpp:184:2: error: expected ‘}’ at end of input 184 | } | ^ test.cpp:28:25: note: to match this ‘{’ 28 | class StepperController { | ^ test.cpp: In member function ‘void StepperController::disable()’: test.cpp:71:9: error: ‘forceStop’ was not declared in this scope 71 | forceStop(); | ^~~~~~~~~ In file included from /usr/include/fe...,,,,,
AUD-007,# Sphere Mesh Generator,"# Sphere Mesh Generator ## Problem Description You are tasked with implementing a sphere mesh generator that creates a 3D sphere model composed of vertices and triangles. The generator should produce a sphere with configurable parameters including radius, level of detail (through latitude and longitude bands), color, and normal calcula...",demo,COMPILATION_ERROR,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h:66:1: error: expected ‘,’ or ‘...’ before ‘extern’ 66 | __BEGIN_DECLS | ^~~~~~~~~...",,,,,
AUD-008,# Spatial Points Analysis Problem,"# Spatial Points Analysis Problem ## Problem Description You are tasked with implementing a class called `SpatialAnalyzer` that can perform various analyses on a set of 2D points in a plane. The class should be able to: 1. Count how many points exist at different ""levels"" (defined by how many other points are strictly to the left and b...",demo,COMPILATION_ERROR,"test.cpp:124:2: error: expected ‘}’ at end of input 124 | } | ^ test.cpp:6:23: note: to match this ‘{’ 6 | class SpatialAnalyzer { | ^ test.cpp: In member function ‘int SpatialAnalyzer::rangeQuery(const std::vector<std::pair<int, int> >&, int, int, int, int)’: test.cpp:91:1: error: expected primary-expression before ‘using’ 91 | using ...",,,,,
AUD-009,# Couple Matching and Happiness Calculation System,"# Couple Matching and Happiness Calculation System ## Problem Description You are tasked with implementing a system that matches boys and girls into couples based on specific criteria, calculates their happiness and compatibility scores, and provides rankings of the happiest and most compatible couples. The system should handle differe...",demo,COMPILATION_ERROR,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h: In function ‘std::pair<double, double> computeGiftTotals(const Boy&, const Girl&...",,,,,
AUD-010,# 2D Game Entity System Implementation,"# 2D Game Entity System Implementation ## Problem Description You are tasked with implementing a comprehensive 2D game entity system that handles physics, animation, and collision detection. The system should include classes for points, hitboxes, animations, and game entities with physical properties. ## Class Requirements ### Point Cl...",demo,COMPILATION_ERROR,"In file included from /usr/include/features.h:486, from /usr/include/x86_64-linux-gnu/c++/12/bits/os_defines.h:39, from /usr/include/x86_64-linux-gnu/c++/12/bits/c++config.h:655, from /usr/include/c++/12/iostream:38, from test.cpp:1: /usr/include/assert.h:66:1: error: expected unqualified-id before ‘extern’ 66 | __BEGIN_DECLS | ^~~~~~~...",,,,,
