suite_id,condition,difficulty,passed,total,pass_rate
suite_a,full_docs,easy,3,3,100.0
suite_a,full_docs,hard,3,3,100.0
suite_a,full_docs,medium,3,3,100.0
suite_a,minimal_docs,easy,3,3,100.0
suite_a,minimal_docs,hard,1,3,33.3
suite_a,minimal_docs,medium,3,3,100.0
suite_a,reference_no_examples,easy,3,3,100.0
suite_a,reference_no_examples,hard,3,3,100.0
suite_a,reference_no_examples,medium,3,3,100.0
suite_a,signature_only,easy,1,3,33.3
suite_a,signature_only,hard,1,3,33.3
suite_a,signature_only,medium,3,3,100.0
