cluster_id,title_norm,title_display,languages,n_languages,difficulty_set,difficulty_span
cluster_001,authentication system implementation,# Authentication System Implementation,"java,scala",2,hard,1
cluster_002,binary search tree validator,# Binary Search Tree Validator,"java,scala",2,hard,1
cluster_003,bit manipulation analyzer,Bit Manipulation Analyzer,"cpp,scala",2,"easy,hard",2
cluster_004,check if a linked list is a palindrome,**Problem: Check if a Linked List is a Palindrome**,"julia,python,swift",3,"hard,medium",2
cluster_005,check if a string is a palindrome,**Problem: Check if a String is a Palindrome**,"elixir,julia,python",3,hard,1
cluster_006,connecting nodes at the same level in a binary tree,**Problem: Connecting Nodes at the Same Level in a Binary Tree**,"julia,ruby",2,hard,1
cluster_007,construct binary tree from preorder and inorder traversal,**Problem: Construct Binary Tree from Preorder and Inorder Traversal**,"elixir,julia",2,"hard,medium",2
cluster_008,count paths with target sum in a binary tree,**Problem: Count Paths with Target Sum in a Binary Tree**,"julia,swift",2,"easy,hard",2
cluster_009,count univalue subtrees,**Problem: Count Univalue Subtrees**,"julia,racket,swift",3,"hard,medium",2
cluster_010,counting trees on slopes,**Problem: Counting Trees on Slopes**,"julia,racket",2,hard,1
cluster_011,counting ways to decode a message,**Problem: Counting Ways to Decode a Message**,"elixir,julia",2,"hard,medium",2
cluster_012,file operations handler,# File Operations Handler,"java,python",2,hard,1
cluster_013,find indices of two numbers that sum to target,**Problem: Find Indices of Two Numbers That Sum to Target**,"julia,swift",2,"hard,medium",2
cluster_014,fragment management system,# Fragment Management System,"java,scala",2,"easy,hard",2
cluster_015,game of life pattern application,# Game of Life Pattern Application,"csharp,java",2,hard,1
cluster_016,graph analysis problem,# Graph Analysis Problem,"cpp,java",2,"hard,medium",2
cluster_017,http request simulator implementation,HTTP Request Simulator Implementation,"java,scala",2,hard,1
cluster_018,insert interval,**Problem: Insert Interval**,"racket,ruby",2,medium,1
cluster_019,maximize stock profit,**Problem: Maximize Stock Profit**,"elixir,racket",2,"easy,medium",2
cluster_020,merge two sorted linked lists,**Problem: Merge Two Sorted Linked Lists**,"elixir,racket",2,"easy,hard",2
cluster_021,minimum depth of a binary tree,**Problem: Minimum Depth of a Binary Tree**,"elixir,swift",2,"hard,medium",2
cluster_022,permission management system,# Permission Management System,"csharp,kotlin",2,"easy,hard",2
cluster_023,reorganize string,**Problem: Reorganize String**,"elixir,r",2,hard,1
cluster_024,robot movement simulation,# Robot Movement Simulation,"python,shell",2,"hard,medium",2
cluster_025,search in rotated sorted array with duplicates,# Problem: Search in Rotated Sorted Array with Duplicates,"cpp,rust",2,"hard,medium",2
cluster_026,shortest palindrome construction,**Problem: Shortest Palindrome Construction**,"julia,swift",2,"hard,medium",2
cluster_027,string processing problem,# String Processing Problem,"cpp,java",2,hard,1
cluster_028,user management system implementation,# User Management System Implementation,"java,scala",2,hard,1
