index,language,difficulty,success,style_stability_score,style_entropy,indent_entropy,line_length_entropy,punctuation_entropy,identifier_style_mix,title
1,cpp,medium,1,0.0,7.989,1.421,2.766,3.302,3,String Analysis Problem
2,cpp,easy,0,0.0,7.791,1.228,2.741,3.071,4,Problem: Number Property Analyzer
3,cpp,hard,0,0.0,8.974,2.067,2.978,3.18,4,Role-Based Person Management System
4,cpp,hard,1,0.0,9.167,2.19,2.917,3.311,4,User Management System
5,cpp,hard,0,0.0,9.019,2.089,3.054,3.376,3,Password Strength Validator
6,cpp,hard,0,0.0,8.668,1.744,3.064,3.109,4,Robot Motion Planner with Obstacle Avoidance
7,cpp,hard,1,0.0,9.4,2.33,2.888,3.432,4,3D Shape Analyzer Problem
8,cpp,easy,1,0.0,8.669,2.058,2.809,3.052,4,Binary Tree Operations
9,cpp,hard,0,0.0,9.18,2.236,3.099,3.345,3,Train Composition Problem
10,cpp,hard,1,0.0,9.052,2.009,3.008,3.285,4,Advanced String Utility Class Implementation
11,cpp,hard,0,0.0,9.188,2.3,2.861,3.277,4,Error Management System
12,cpp,medium,1,1.33,7.433,1.283,2.401,3.249,3,Problem: Advanced Mathematical Operations Calculator
13,cpp,medium,0,0.0,9.462,2.417,3.296,3.0,4,Image Rendering System
14,cpp,hard,0,0.0,8.578,1.847,2.866,3.116,4,Status Effects System Implementation
15,cpp,hard,1,0.0,9.532,2.619,3.142,3.27,3,Delivery Route Optimization Problem
16,cpp,hard,0,0.0,9.474,2.357,2.976,3.391,4,Air Travel Route Planner
17,cpp,easy,0,0.0,9.804,2.68,3.006,3.368,4,Advanced String Analysis Problem
18,cpp,easy,1,0.0,8.594,1.535,3.086,3.223,4,Accelerometer Data Processing Problem
19,cpp,hard,1,0.0,8.73,1.929,2.835,3.216,4,Physics Simulation: Ball and Trap System
20,cpp,easy,1,0.0,8.089,1.709,2.847,3.032,3,String Manipulation Library
21,cpp,hard,1,0.0,8.748,1.805,2.875,3.317,4,Audio Processing System
22,cpp,hard,1,0.0,7.847,1.48,2.753,3.113,3,String Processing Problem
23,cpp,hard,0,0.0,9.187,2.351,2.708,3.378,4,Bus Schedule Optimization Problem
24,cpp,easy,1,0.0,8.888,2.059,2.697,3.382,4,Shared Pointer Management System
25,cpp,medium,1,0.0,8.151,1.687,2.609,3.105,4,Binary-Decimal Conversion System
26,cpp,easy,0,0.0,9.595,2.191,3.285,3.369,4,Nunchuk Controller Implementation
27,cpp,hard,0,0.0,8.238,1.306,3.035,3.398,3,String Analysis and Manipulation
28,cpp,hard,0,0.0,9.3,2.268,3.149,3.133,4,Network Packet Builder Implementation
29,cpp,hard,0,0.0,8.453,1.802,2.996,2.906,4,3D Cube Operations Problem
30,cpp,hard,0,0.0,9.061,2.04,2.999,3.272,4,2D Side-Scrolling Game Renderer Simulation
31,cpp,hard,0,0.0,9.269,2.571,2.763,3.435,3,Bracket Balancing Problem
32,cpp,easy,0,0.0,8.363,1.885,2.894,3.085,3,Drama Movie Inventory Management System
33,cpp,hard,1,0.0,9.444,2.539,2.94,3.465,3,Edge Detection in Grayscale Images
34,cpp,hard,0,0.0,8.866,2.156,2.886,3.075,4,Advanced 2D Game Player System
35,cpp,medium,0,0.0,8.222,1.564,2.781,3.376,3,Problem: Thread-Safe Data Statistics Processor
